sweep,type,A,A_unit,cost_jpy
vessel_volume_sweep,decanter,5.223345074266842,m^3,5194341.761715652
vessel_volume_sweep,decanter,5.878016072274912,m^3,5518190.145991602
vessel_volume_sweep,decanter,6.614740641230149,m^3,5868658.04344507
vessel_volume_sweep,decanter,7.443803013251689,m^3,6248229.178371121
vessel_volume_sweep,decanter,8.376776400682918,m^3,6659645.306422005
vessel_volume_sweep,decanter,9.426684551178852,m^3,7105935.325030355
vessel_volume_sweep,decanter,10.608183551394482,m^3,7590447.910564304
vessel_volume_sweep,decanter,11.937766417144363,m^3,8116888.136451803
vessel_volume_sweep,decanter,13.433993325989,m^3,8689358.588296631
vessel_volume_sweep,decanter,15.117750706156622,m^3,9312405.562619591
vessel_volume_sweep,decanter,17.012542798525892,m^3,9991071.01661263
vessel_volume_sweep,decanter,19.144819761699576,m^3,10730951.02871562
vessel_volume_sweep,decanter,21.544346900318832,m^3,11538261.635675794
vessel_volume_sweep,decanter,24.244620170823282,m^3,12419913.033067273
vessel_volume_sweep,decanter,27.28333376486768,m^3,13383593.265393727
vessel_volume_sweep,decanter,30.702906297578497,m^3,14437862.691606464
vessel_volume_sweep,decanter,34.55107294592218,m^3,15592260.695315953
vessel_volume_sweep,decanter,38.881551803080875,m^3,16857426.319838185
vessel_volume_sweep,decanter,43.75479375074185,m^3,18245234.750776075
vessel_volume_sweep,decanter,49.23882631706739,m^3,19768951.848057356
vessel_volume_sweep,decanter,55.41020330009492,m^3,21443409.25101647
vessel_volume_sweep,decanter,62.355073412739124,m^3,23285202.950941395
vessel_volume_sweep,decanter,70.17038286703826,m^3,25312918.65334868
vessel_volume_sweep,decanter,78.96522868499724,m^3,27547387.746223383
vessel_volume_sweep,decanter,88.86238162743403,m^3,30011978.261225108
vessel_volume_sweep,decanter,100.0,m^3,32732925.874844395
vessel_volume_sweep,psa,1.0,m^3,4328721.340800793
vessel_volume_sweep,psa,1.125335582600765,m^3,4567116.342973969
vessel_volume_sweep,psa,1.2663801734674032,m^3,4824912.171883013
vessel_volume_sweep,psa,1.425102670302998,m^3,5103893.939872824
vessel_volume_sweep,psa,1.6037187437513303,m^3,5406033.858270161
vessel_volume_sweep,psa,1.8047217668271702,m^3,5733512.625893244
vessel_volume_sweep,psa,2.0309176209047357,m^3,6088743.466572817
vessel_volume_sweep,psa,2.2854638641349903,m^3,6474399.165976164
vessel_volume_sweep,psa,2.571913809059345,m^3,6893442.507184708
vessel_volume_sweep,psa,2.8942661247167507,m^3,7349160.5609046845
vessel_volume_sweep,psa,3.257020655659783,m^3,7845203.35101682
vessel_volume_sweep,psa,3.665241237079628,m^3,8385627.490705765
vessel_volume_sweep,psa,4.1246263829013525,m^3,8974945.47017754
vessel_volume_sweep,psa,4.641588833612778,m^3,9618181.375747748
vessel_volume_sweep,psa,5.223345074266842,m^3,10320933.933930827
vessel_volume_sweep,psa,5.878016072274912,m^3,11089447.905492537
vessel_volume_sweep,psa,6.614740641230149,m^3,11930695.006052744
vessel_volume_sweep,psa,7.443803013251689,m^3,12852465.705029098
vessel_volume_sweep,psa,8.376776400682918,m^3,13863473.457329514
vessel_volume_sweep,psa,9.426684551178852,m^3,14973473.156720342
vessel_volume_sweep,psa,10.608183551394482,m^3,16193395.871472128
vessel_volume_sweep,psa,11.937766417144363,m^3,17535502.237869184
vessel_volume_sweep,psa,13.433993325989,m^3,19013557.252683155
vessel_volume_sweep,psa,15.117750706156622,m^3,20643029.630219407
vessel_volume_sweep,psa,17.012542798525892,m^3,22441319.383003518
vessel_volume_sweep,psa,19.144819761699576,m^3,24428017.85927035
vessel_volume_sweep,psa,21.544346900318832,m^3,26625205.138918836
vessel_volume_sweep,psa,24.244620170823282,m^3,29057790.468694314
vessel_volume_sweep,psa,27.28333376486768,m^3,31753902.32616282
vessel_volume_sweep,psa,30.702906297578497,m^3,34745335.76306287
vessel_volume_sweep,psa,34.55107294592218,m^3,38068065.91846316
vessel_volume_sweep,psa,38.881551803080875,m^3,41762838.042226404
vessel_volume_sweep,psa,43.75479375074185,m^3,45875846.06675587
vessel_volume_sweep,psa,49.23882631706739,m^3,50459513.753853366
vessel_volume_sweep,psa,55.41020330009492,m^3,55573394.77585798
vessel_volume_sweep,psa,62.355073412739124,m^3,61285210.82785363
vessel_volume_sweep,psa,70.17038286703826,m^3,67672050.083946
vessel_volume_sweep,psa,78.96522868499724,m^3,74821752.0925197
vessel_volume_sweep,psa,88.86238162743403,m^3,82834509.65654376
vessel_volume_sweep,psa,100.0,m^3,91824723.48859887
